class_name,data
search, "how do i track deliveries? substitutions?"
order, "I'd like to buy a bag of granny smith apples" 
noop, "sometimes I dream of home"
search, "what is the price of this item?"
search, "how do I find the delivery ETA in the app?"
search, "what's the TOS for this app?"
search, "Can I schedule a delivery for a future date?"
search, "how much does this all cost?"
search, "can I request a specific shopper or delivery person?"
search, "can I tip my shopper?"
search, "is contactless delivery an option?"
search, "report an issue"
search, "are prices same as in stores?"
search, "cancel order faq"
search, "cancel order fee?"
order, "checkout"
order, "can I get two of these?"
order, "ready to checkout"
order, "add to cart when it's back in stock"
order, "add these frozen meals to the basket"
order, "can I add a six pack to this?"
order, "two packages of my liked ice creams"
noop, "what's the weather?"
noop, "how long do cats live?"
noop, "tell me a joke about carrots"
noop, "what do I delete apps on my phone?"
noop, "Tying a tie"
noop, "football game score"
order, "buy the dragonfruit that's on sale"
order, "just buy the sale fruits please"
order, "I want to get the dragonfruit"
